"price","mileage","tax","mpg","age","model","transmission","fuelType","manufacturer","model_collapsed","engineSize_int"
38487,3155,145,45.6,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
34980,3613,145,57.7,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
20480,10371,145,65.7,1,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
36980,2924,145,44.8,1,"V Class","Semi-Auto","Diesel","Mercedes","V Class","[2.2,5.5]"
45480,236,145,36.2,1,"V Class","Semi-Auto","Diesel","Mercedes","V Class","[1.8,2.1)"
29980,2190,145,53.3,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
30980,1995,145,64.2,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
19000,29296,20,67.3,4,"CL Class","Semi-Auto","Diesel","Mercedes","CL Class","2.1"
44480,9103,145,29.1,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[2.2,5.5]"
24780,10250,145,72.4,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
21980,49477,145,54.3,4,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[2.2,5.5]"
20380,12326,145,65.7,1,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
32640,5615,145,45.6,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
31041,21739,205,47.9,4,"S Class","Semi-Auto","Diesel","Mercedes","S Class","[2.2,5.5]"
14600,27450,20,72.4,4,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
47950,2550,145,36.7,1,"V Class","Automatic","Diesel","Mercedes","V Class","[1.8,2.1)"
32540,2960,145,55.4,1,"C Class","Automatic","Diesel","Mercedes","C Class","[1.8,2.1)"
28480,3748,145,44.1,2,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
18980,28231,125,56.5,4,"GLA Class","Semi-Auto","Diesel","Mercedes","GLA Class","2.1"
20480,14568,145,46.3,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
17440,25374,30,64.2,4,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
34740,4999,145,42.8,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
28150,1999,145,46.3,1,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
16680,45588,20,64.2,4,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
24640,11900,145,47.1,1,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
21340,12836,145,44.1,1,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
12233,40246,20,68.9,5,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
19995,19870,150,41.5,2,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.8,2.1)"
46402,197,145,32.9,0,"E Class","Semi-Auto","Petrol","Mercedes","E Class","[1.8,2.1)"
36987,4399,145,36.7,1,"A Class","Automatic","Petrol","Mercedes","A Class","[1.8,2.1)"
14732,38824,20,64.2,6,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
15500,23542,20,70.6,5,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
30000,9266,145,47.1,1,"SL CLASS","Semi-Auto","Petrol","Mercedes","SL CLASS","[1.8,2.1)"
10932,38510,0,78.5,6,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
14490,58502,20,64.2,5,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
11772,47320,20,70.6,5,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
39995,2103,145,38.2,0,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[2.2,5.5]"
16571,20289,150,72.4,2,"A Class","Manual","Diesel","Mercedes","A Class","[1.5,1.8)"
21156,15815,145,67.3,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
49792,8569,150,35.8,1,"GLE Class","Semi-Auto","Diesel","Mercedes","GLE Class","[1.8,2.1)"
16892,35464,30,64.2,5,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
15362,50743,145,65.7,3,"CL Class","Manual","Diesel","Mercedes","CL Class","2.1"
39336,12157,199.284540477858,32.8,3,"C Class","Automatic","Petrol","Mercedes","C Class","[2.2,5.5]"
38782,15640,145,45.6,2,"V Class","Semi-Auto","Diesel","Mercedes","V Class","[2.2,5.5]"
20191,24584,145,47.9,3,"SL CLASS","Semi-Auto","Petrol","Mercedes","SL CLASS","[1.8,2.1)"
37991,3790,145,45.6,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
19802,9582,160,46.3,4,"E Class","Semi-Auto","Petrol","Mercedes","E Class","[1.8,2.1)"
20932,25276,145,53.3,2,"CL Class","Semi-Auto","Petrol","Mercedes","CL Class","[1.5,1.8)"
36090,6374,145,30.4,1,"C Class","Automatic","Petrol","Mercedes","C Class","[2.2,5.5]"
22890,20077,20,67.3,4,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
20990,44444,160,51.4,4,"CLS Class","Semi-Auto","Diesel","Mercedes","CLS Class","[2.2,5.5]"
12995,45024,20,64.2,5,"C Class","Automatic","Diesel","Mercedes","C Class","2.1"
29966,7278,145,58.9,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
22900,4500,145,44.1,2,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
20662,44965,20,67.3,3,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
